gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,0,0,46,1,0,2,0,0,1,0,0,0,0,1,3,74.8,3548.30,Not Churn
1,0,0,0,34,1,1,2,0,1,1,0,1,1,0,1,1,106.35,3549.25,Churn
0,0,0,0,11,1,1,2,0,0,1,0,1,1,0,1,3,97.85,1105.40,Churn
1,0,1,1,10,1,0,1,0,1,0,0,0,0,1,0,2,49.55,475.70,Not Churn
0,0,1,1,70,1,1,1,1,1,0,0,1,0,2,1,3,69.2,4872.35,Not Churn
0,0,1,1,17,1,0,0,2,2,2,2,2,2,1,0,2,20.75,418.25,Not Churn
0,0,0,0,63,1,1,1,1,1,1,1,1,0,2,1,3,79.85,4861.45,Not Churn
0,0,1,0,13,1,1,1,1,1,0,1,1,0,0,1,1,76.2,981.45,Not Churn
0,0,0,0,49,1,1,2,0,0,0,0,0,1,0,1,1,84.5,3906.70,Not Churn
1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,2,49.25,97.00,Not Churn
0,0,0,0,2,1,0,2,0,0,0,0,1,0,0,1,1,80.65,144.15,Churn
1,0,0,0,52,1,1,1,1,0,0,1,1,1,2,1,3,79.75,4217.80,Not Churn
0,0,1,1,69,1,1,1,1,0,1,1,0,0,2,1,3,64.15,4254.10,Not Churn
0,1,0,0,43,1,1,2,0,1,0,0,1,0,0,1,1,90.25,3838.75,Not Churn
0,0,0,0,15,1,0,2,1,1,0,0,1,1,0,1,3,99.1,1426.40,Churn
0,1,1,0,25,1,1,1,1,0,0,1,1,0,0,1,3,69.5,1752.65,Not Churn
0,1,1,0,8,1,1,2,0,1,0,0,0,0,0,1,3,80.65,633.30,Churn
0,1,1,1,60,1,0,1,1,1,1,1,0,1,1,1,3,74.85,4456.35,Not Churn
1,1,0,0,18,1,1,2,0,0,0,0,1,1,0,1,1,95.45,1752.55,Churn
0,0,1,1,63,1,1,2,1,0,0,0,1,1,1,1,3,99.65,6311.20,Not Churn
1,1,1,1,66,1,1,2,0,1,1,1,1,1,1,1,1,108.45,7076.35,Not Churn
0,0,1,1,34,1,1,0,2,2,2,2,2,2,2,0,3,24.95,894.30,Not Churn
0,0,0,0,72,1,1,2,0,0,1,1,1,1,2,1,3,107.5,7853.70,Not Churn
0,0,1,0,47,1,1,2,0,0,1,0,1,1,0,1,1,100.5,4707.10,Not Churn
1,0,0,0,60,1,1,2,0,1,0,0,1,0,0,1,3,89.9,5450.70,Not Churn
1,0,1,0,72,0,2,1,1,1,1,0,0,0,2,0,3,42.1,2962.00,Not Churn
0,0,1,1,18,1,0,1,0,0,1,1,0,0,1,1,3,54.4,957.10,Not Churn
0,0,0,0,9,1,1,2,0,0,0,0,1,1,0,0,1,94.4,857.25,Churn
0,0,0,0,3,1,0,1,0,1,0,1,1,1,0,1,1,75.3,244.10,Not Churn
1,0,1,0,47,1,1,2,0,1,0,0,0,0,1,1,1,78.9,3650.35,Not Churn
0,0,0,0,31,1,0,1,0,1,1,1,1,1,2,0,2,79.2,2497.20,Not Churn
0,0,1,1,50,1,0,0,2,2,2,2,2,2,2,0,3,20.15,930.90,Not Churn
1,0,0,0,10,1,0,2,1,0,1,0,0,0,0,1,2,79.85,887.35,Not Churn
1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,2,49.05,49.05,Not Churn
0,0,1,1,52,1,0,0,2,2,2,2,2,2,1,1,1,20.4,1090.65,Not Churn
1,1,1,1,64,1,1,2,1,0,1,1,1,1,2,1,3,111.6,7099.00,Not Churn
1,0,1,1,62,1,1,0,2,2,2,2,2,2,2,1,3,24.25,1424.60,Not Churn
0,0,0,1,3,1,0,1,1,0,0,1,0,1,0,1,3,64.5,177.40,Not Churn
0,1,0,0,56,1,1,2,1,1,1,0,1,1,1,0,1,110.5,6139.50,Not Churn
0,0,0,0,46,1,0,1,0,0,0,0,0,1,1,0,3,55.65,2688.85,Not Churn
0,0,1,1,8,1,0,1,1,1,0,0,0,0,0,0,2,54.65,482.25,Not Churn
1,1,0,0,30,1,0,1,1,1,0,0,1,1,0,1,1,74.75,2111.30,Not Churn
0,0,1,1,45,1,1,0,2,2,2,2,2,2,1,1,3,25.9,1216.60,Not Churn
0,0,0,1,1,1,0,2,0,0,0,0,1,0,0,1,1,79.35,79.35,Churn
0,0,1,1,11,0,2,1,1,0,0,0,1,1,0,0,1,50.55,565.35,Not Churn
0,0,1,0,7,1,0,2,0,0,1,0,0,0,0,1,3,75.15,496.90,Churn
0,0,0,0,42,1,0,2,0,1,1,1,1,1,0,1,3,103.8,4327.50,Not Churn
0,0,1,0,49,1,0,0,2,2,2,2,2,2,2,1,3,20.15,973.35,Not Churn
1,0,0,0,9,1,1,2,0,1,0,0,1,1,0,1,3,99.3,918.75,Not Churn
0,0,1,0,35,1,0,1,1,0,0,0,1,0,1,1,3,62.15,2215.45,Not Churn
0,0,1,1,48,1,0,0,2,2,2,2,2,2,2,0,3,20.65,1057.00,Not Churn
0,0,1,1,46,1,0,0,2,2,2,2,2,2,2,1,2,19.95,927.10,Not Churn
1,0,1,0,29,0,2,1,0,0,0,0,1,0,0,0,2,33.75,1009.25,Not Churn
1,0,1,1,30,1,0,2,0,1,1,0,0,0,0,0,3,82.05,2570.20,Not Churn
1,1,0,0,1,1,0,2,0,0,0,1,0,0,0,0,1,74.7,74.70,Not Churn
1,0,1,1,66,1,1,1,1,0,1,1,1,1,2,1,2,84,5714.25,Not Churn
0,0,0,0,65,1,1,2,1,1,1,0,1,1,0,1,3,111.05,7107.00,Not Churn
1,0,0,0,72,1,1,2,0,1,1,0,1,1,2,1,3,100.9,7459.05,Not Churn
0,0,0,0,12,1,1,2,1,0,0,0,0,0,0,1,1,78.95,927.35,Churn
1,0,1,1,71,1,1,1,1,1,0,1,0,0,1,1,3,66.85,4748.70,Not Churn
1,0,0,0,5,1,0,0,2,2,2,2,2,2,0,0,2,21.05,113.85,Churn
1,0,0,0,52,1,0,0,2,2,2,2,2,2,2,0,3,21,1107.20,Not Churn
0,1,1,0,25,1,0,2,0,1,1,0,1,1,0,1,1,98.5,2514.50,Churn
1,0,0,0,1,1,0,0,2,2,2,2,2,2,0,0,2,20.2,20.20,Not Churn
0,0,1,1,1,1,0,0,2,2,2,2,2,2,0,0,1,19.45,19.45,Not Churn
1,0,0,0,38,1,1,2,0,0,1,1,1,0,1,0,3,95,3605.60,Not Churn
0,1,1,0,66,0,2,1,0,1,1,0,1,0,1,0,3,45.55,3027.25,Not Churn
1,0,1,0,68,1,1,2,0,1,1,1,1,1,2,1,3,110,7611.85,Churn
1,0,0,0,5,0,2,1,0,0,0,0,0,0,0,0,2,24.3,100.20,Not Churn
0,0,1,1,72,1,1,2,1,1,0,0,1,1,1,1,1,104.15,7303.05,Not Churn
0,0,0,0,32,0,2,1,1,0,0,0,0,0,1,0,2,30.15,927.65,Not Churn
1,0,0,0,43,1,1,2,0,0,0,0,1,1,1,0,2,94.35,3921.30,Not Churn
1,0,1,1,72,1,0,0,2,2,2,2,2,2,2,0,3,19.4,1363.25,Not Churn
1,0,1,0,55,1,1,2,1,1,0,0,1,0,0,1,1,96.75,5238.90,Churn
0,0,0,0,52,1,0,1,1,0,1,1,0,0,1,0,3,57.95,3042.25,Not Churn
0,0,0,0,43,1,0,2,0,1,1,0,1,0,0,1,1,91.65,3954.10,Not Churn
0,1,1,0,37,1,1,2,0,0,0,0,0,0,0,1,1,76.5,2868.15,Churn
0,0,1,1,64,0,2,1,0,1,0,1,1,1,2,1,1,54.6,3423.50,Not Churn
1,0,1,1,3,1,0,2,1,1,0,0,1,0,0,0,1,89.85,248.40,Not Churn
0,0,0,0,36,0,2,1,1,0,0,0,0,0,2,0,3,31.05,1126.35,Not Churn
0,0,1,1,10,1,1,2,1,0,0,0,1,1,0,1,1,100.25,1064.65,Churn
0,0,0,0,41,1,0,0,2,2,2,2,2,2,2,0,2,20.65,835.15,Not Churn
1,0,1,1,27,1,1,2,0,1,0,1,0,0,0,1,3,85.2,2151.60,Not Churn
0,0,1,1,56,1,1,2,0,0,1,0,1,1,1,1,3,99.8,5515.45,Not Churn
0,0,0,0,6,1,0,0,2,2,2,2,2,2,0,0,2,20.7,112.75,Not Churn
1,0,0,0,3,1,1,2,0,0,0,0,0,0,0,1,1,74.4,229.55,Churn
0,0,1,1,7,1,0,1,1,0,0,0,0,0,0,0,2,50.7,350.35,Not Churn
0,0,1,1,4,1,0,0,2,2,2,2,2,2,0,0,2,20.85,62.90,Not Churn
1,0,0,0,33,1,0,2,1,0,0,1,1,0,2,1,1,88.95,3027.65,Not Churn
0,1,0,0,27,1,1,2,0,0,1,0,0,0,0,1,1,78.05,2135.50,Churn
1,0,1,0,72,1,1,0,2,2,2,2,2,2,2,1,3,23.55,1723.95,Not Churn
1,0,0,0,1,1,0,0,2,2,2,2,2,2,0,0,2,19.75,19.75,Not Churn
1,1,0,0,71,0,2,1,1,1,0,0,1,1,1,1,1,56.45,3985.35,Not Churn
0,0,0,0,13,1,1,2,0,0,0,0,0,1,0,1,1,85.95,1215.65,Not Churn
0,0,1,1,25,0,2,1,1,1,1,0,1,1,0,1,3,58.6,1502.65,Churn
1,0,0,0,67,1,0,1,0,0,0,1,0,0,2,0,3,50.55,3260.10,Not Churn
1,0,0,0,1,0,2,1,0,0,0,0,0,1,0,1,1,35.45,35.45,Churn
1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,44.35,81.25,Churn
0,0,0,0,43,1,1,0,2,2,2,2,2,2,2,1,3,25.7,1188.20,Not Churn
0,0,0,0,23,1,0,2,1,0,0,0,0,0,0,1,3,75,1778.50,Not Churn
0,0,1,1,64,1,0,0,2,2,2,2,2,2,2,0,2,20.2,1277.75,Not Churn
1,0,0,1,57,1,0,0,2,2,2,2,2,2,2,1,2,19.6,1170.55,Not Churn
0,1,1,0,1,1,0,2,0,0,0,0,0,0,0,1,2,70.45,70.45,Churn
0,1,1,1,72,1,1,1,1,1,1,1,1,1,2,1,3,88.05,6425.65,Not Churn
0,0,0,0,8,1,1,1,1,0,0,1,0,1,0,0,1,71.15,563.65,Churn
0,0,1,0,61,1,1,2,0,1,0,0,1,1,2,1,3,101.05,5971.25,Not Churn
1,0,0,0,64,1,1,2,1,1,0,0,0,0,1,1,3,84.3,5289.05,Not Churn
1,1,1,0,71,1,1,0,2,2,2,2,2,2,2,0,3,23.95,1756.20,Not Churn
0,0,1,1,65,1,1,2,1,1,0,1,1,0,2,1,3,99.05,6416.70,Not Churn
1,0,0,0,3,1,0,0,2,2,2,2,2,2,1,0,2,19.6,61.35,Not Churn
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,45.65,45.65,Churn
1,0,0,1,30,1,0,1,0,1,1,0,1,0,1,0,3,64.5,1929.95,Not Churn
1,0,1,1,15,1,0,1,0,1,1,1,0,1,0,1,2,69.5,1071.40,Not Churn
0,0,1,1,8,1,0,1,0,0,0,1,1,1,0,1,1,68.55,564.35,Not Churn
1,0,0,0,7,1,1,2,0,0,0,0,1,1,0,0,2,95,655.50,Churn
0,0,1,1,70,1,1,2,1,1,1,0,1,1,1,1,3,108.15,7930.55,Not Churn
1,0,1,1,62,1,0,1,1,1,1,1,1,1,2,0,1,86.1,5215.25,Not Churn
0,0,1,1,6,1,0,0,2,2,2,2,2,2,0,0,2,19.7,113.50,Not Churn
0,0,1,1,14,1,0,2,0,0,0,0,0,1,0,1,3,80.9,1152.80,Not Churn
0,0,0,0,22,1,1,2,0,0,0,0,1,0,0,1,3,84.15,1821.95,Not Churn
1,0,1,1,22,1,0,0,2,2,2,2,2,2,1,0,2,20.15,419.90,Not Churn
1,0,1,1,16,1,0,1,1,0,1,0,1,0,2,0,2,64.25,1024.00,Not Churn
1,0,0,0,10,1,1,0,2,2,2,2,2,2,2,0,3,25.7,251.60,Not Churn
0,0,0,1,13,1,0,1,1,1,0,0,0,0,0,1,1,56,764.55,Not Churn
0,0,1,0,20,1,1,2,1,0,0,0,0,0,0,0,1,82.4,1592.35,Churn
0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,1,69.7,135.20,Not Churn
1,0,0,0,53,1,1,1,0,1,1,1,0,1,2,1,3,73.9,3958.25,Not Churn
0,0,1,1,11,1,0,0,2,2,2,2,2,2,1,0,2,20.6,233.90,Not Churn
1,0,1,0,69,1,0,0,2,2,2,2,2,2,2,0,2,19.9,1363.45,Not Churn
0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,1,3,70.9,273.00,Churn
1,0,1,0,72,1,1,1,1,1,1,1,1,1,2,1,3,89.05,6254.45,Not Churn
1,1,1,0,58,0,2,1,0,1,1,0,0,1,0,1,1,45.3,2651.20,Churn
0,0,1,1,16,1,0,0,2,2,2,2,2,2,0,0,1,20.4,321.40,Not Churn
1,0,1,0,43,1,0,2,1,0,1,1,0,0,1,1,3,84.25,3539.25,Not Churn
0,0,1,0,2,1,1,2,0,0,1,1,1,1,0,1,1,104.4,242.80,Churn
1,0,1,0,14,1,0,1,0,1,1,1,1,1,2,0,2,81.95,1181.75,Not Churn
0,0,1,0,53,1,0,2,0,0,1,0,1,1,1,1,3,94.85,5000.20,Churn
0,0,0,0,32,1,0,0,2,2,2,2,2,2,1,0,3,20.55,654.55,Not Churn
0,0,1,0,34,1,1,0,2,2,2,2,2,2,0,0,1,24.7,780.20,Not Churn
0,1,0,0,15,1,1,2,0,0,0,0,0,0,0,1,2,74.45,1145.70,Churn
0,1,0,0,7,1,0,2,1,0,0,0,0,0,0,0,3,76.45,503.60,Churn
0,0,1,1,15,1,1,2,0,1,1,0,1,1,0,1,3,105.35,1559.25,Not Churn
1,0,1,0,61,1,0,0,2,2,2,2,2,2,1,1,3,20.55,1252.00,Not Churn
0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,3,29.95,29.95,Churn
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,45.3,45.30,Not Churn
1,0,0,0,8,1,1,2,0,0,0,0,0,1,0,0,3,84.5,662.65,Churn
1,0,1,1,33,1,0,1,1,0,1,0,1,1,1,0,3,74.75,2453.30,Not Churn
0,0,0,0,13,1,0,2,0,1,1,0,0,0,0,1,1,79.25,1111.65,Churn
0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,1,1,24.8,24.80,Churn
1,0,0,0,20,1,0,1,0,1,0,0,0,0,0,1,2,51.8,1023.85,Not Churn
1,0,0,0,3,0,2,1,0,0,0,1,0,0,0,0,1,30.4,82.15,Not Churn
0,0,0,0,13,1,0,0,2,2,2,2,2,2,1,0,1,19.65,244.80,Not Churn
0,0,1,0,40,1,1,1,0,1,0,0,0,0,0,0,3,56.6,2379.10,Not Churn
1,0,1,1,43,1,1,1,1,0,0,1,0,1,1,1,3,71.9,3173.35,Not Churn
1,0,1,0,6,1,0,2,0,1,1,0,0,1,0,1,1,91,531.00,Churn
0,0,1,1,69,1,0,0,2,2,2,2,2,2,2,0,3,19.75,1375.40,Not Churn
0,0,1,1,72,1,1,2,1,1,1,0,1,1,2,0,3,109.7,8129.30,Not Churn
1,0,1,1,59,1,0,0,2,2,2,2,2,2,2,0,3,19.3,1192.70,Not Churn
0,0,1,0,20,1,0,2,1,1,0,1,1,0,0,1,1,96.55,1901.65,Not Churn
1,0,1,1,24,1,1,0,2,2,2,2,2,2,2,1,3,24.1,587.40,Not Churn
1,0,0,0,59,1,1,2,0,1,1,1,1,1,0,1,1,111.35,6519.75,Not Churn
1,0,1,1,72,1,1,2,0,1,1,1,1,1,2,1,3,112.25,8041.65,Not Churn
1,0,0,1,1,1,0,0,2,2,2,2,2,2,0,0,2,20.75,20.75,Not Churn
0,0,1,0,27,1,0,2,1,0,0,1,1,1,1,1,3,101.9,2681.15,Not Churn
0,0,0,0,14,1,0,2,0,1,0,1,0,0,0,1,3,80.05,1112.30,Not Churn
1,0,1,1,71,1,1,2,1,0,1,0,1,1,2,0,1,105.55,7405.50,Not Churn
1,0,0,1,13,1,0,2,0,0,0,0,1,0,0,1,3,78.3,1033.95,Not Churn
1,0,0,0,44,1,0,2,0,0,0,0,0,0,0,0,3,68.85,2958.95,Not Churn
0,0,0,0,33,1,0,2,0,1,0,1,0,0,1,1,3,79.95,2684.85,Not Churn
1,0,1,1,72,0,2,1,1,1,1,1,0,1,2,1,3,55.45,4179.20,Not Churn
1,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,1,79.9,79.90,Churn
0,0,0,0,19,1,0,2,1,0,1,1,1,1,0,1,1,106.6,1934.45,Churn
1,0,1,0,64,1,0,2,0,1,1,1,1,1,1,1,3,102.45,6654.10,Not Churn
1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,3,46,84.50,Churn
0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,25.25,25.25,Not Churn
1,0,0,1,61,1,0,0,2,2,2,2,2,2,2,0,2,19.75,1124.20,Not Churn
0,0,1,1,29,1,0,0,2,2,2,2,2,2,1,0,1,20,540.05,Not Churn
1,1,1,0,23,1,1,2,0,0,0,0,0,1,0,0,1,86.8,1975.85,Not Churn
0,0,1,0,57,0,2,1,1,1,1,0,1,1,0,1,3,58.75,3437.45,Not Churn
1,0,1,1,72,0,2,1,1,1,1,1,0,0,2,0,3,45.25,3139.80,Not Churn
1,0,1,0,66,0,2,1,1,1,1,1,1,0,2,1,3,56.6,3789.20,Not Churn
1,0,1,1,65,1,1,1,0,1,1,1,1,1,2,1,3,84.2,5324.50,Not Churn
0,0,0,0,8,1,0,2,0,0,0,0,1,0,0,1,3,80,624.60,Not Churn
0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,1,1,70.15,268.35,Churn
0,0,1,0,71,1,1,0,2,2,2,2,2,2,2,0,3,24.75,1836.90,Not Churn
1,0,1,1,1,1,0,0,2,2,2,2,2,2,1,1,1,20.2,20.20,Not Churn
1,0,1,0,4,1,0,1,0,0,0,1,0,0,0,0,2,50.05,179.35,Churn
0,0,0,0,12,1,0,0,2,2,2,2,2,2,1,1,3,19.35,219.35,Not Churn
1,0,0,0,24,0,2,1,1,0,0,0,1,1,1,1,2,50.6,1288.75,Not Churn
0,0,1,1,31,1,0,1,1,0,1,1,1,1,1,1,2,81.15,2545.75,Not Churn
0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,2,55.2,55.20,Churn
1,0,0,0,30,1,1,2,0,0,0,1,0,1,0,1,3,89.9,2723.15,Not Churn
0,0,1,1,47,1,1,1,1,1,0,1,1,1,2,1,3,85.3,4107.25,Not Churn
1,0,0,0,54,1,1,2,1,1,0,1,1,1,2,1,3,108,5760.65,Not Churn
1,0,0,0,50,1,0,2,1,1,0,1,0,1,0,1,3,93.5,4747.50,Not Churn
1,0,0,0,1,1,0,2,1,0,0,0,0,1,0,1,2,84.6,84.60,Churn
0,0,0,0,72,1,0,0,2,2,2,2,2,2,2,0,3,20.25,1566.90,Not Churn
0,0,0,0,29,1,1,0,2,2,2,2,2,2,0,0,1,25.15,702.00,Not Churn
1,0,0,0,2,1,1,1,0,1,0,0,0,0,0,1,2,54.4,114.10,Churn
0,0,0,0,10,0,2,1,0,0,0,1,0,0,2,1,2,29.6,299.05,Not Churn
1,0,1,0,18,1,1,2,0,0,0,0,0,0,0,1,1,73.15,1305.95,Not Churn
0,1,0,0,11,1,0,2,0,1,0,0,1,1,0,1,1,95,1120.30,Churn
1,0,0,0,16,1,0,0,2,2,2,2,2,2,2,0,2,19.75,284.35,Not Churn
0,0,0,0,72,1,1,1,0,1,1,1,1,1,2,0,3,86.6,6350.50,Not Churn
1,0,0,0,72,1,1,2,0,1,1,1,1,1,2,0,3,109.2,7878.30,Not Churn
0,0,1,1,41,1,0,1,1,0,0,1,1,1,1,1,3,74.7,3187.65,Not Churn
0,1,1,0,65,1,0,2,1,1,1,0,0,1,0,0,1,94.4,6126.15,Not Churn
0,1,0,0,13,1,0,1,0,1,1,0,0,0,0,1,1,54.8,731.30,Not Churn
1,1,0,0,4,1,0,2,1,0,0,0,0,0,0,0,1,75.35,273.40,Not Churn
1,0,0,0,41,1,1,1,0,0,1,0,0,1,1,0,2,65,2531.80,Not Churn
1,1,0,0,15,1,0,2,0,1,0,0,0,0,0,1,1,74.4,1074.30,Churn
1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,2,48.55,48.55,Churn
1,0,0,0,42,1,1,2,1,1,1,0,0,1,1,1,1,99,4298.45,Not Churn
0,0,1,0,51,1,0,2,1,1,1,0,1,0,1,1,1,93.5,4619.55,Not Churn
0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,1,70.4,147.15,Churn
1,1,1,0,1,0,2,1,0,1,0,0,1,0,0,0,1,40.2,40.20,Churn
1,0,0,1,32,1,1,1,0,1,1,1,1,1,1,0,3,83.7,2633.30,Not Churn
1,0,0,0,10,1,0,0,2,2,2,2,2,2,0,1,2,19.85,193.05,Not Churn
0,0,1,1,67,0,2,1,0,1,1,1,1,1,2,1,1,59.55,4103.90,Not Churn
0,0,1,1,61,1,1,2,1,1,1,1,1,1,2,0,3,115.1,7008.15,Not Churn
1,0,0,0,50,1,1,2,1,1,1,1,1,1,1,0,3,114.35,5791.10,Not Churn
0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,1,3,44.6,80.55,Churn
0,1,1,0,29,0,2,1,1,0,1,0,0,1,0,1,1,45,1228.65,Not Churn
1,1,0,0,3,0,2,1,0,0,1,0,0,1,0,1,1,41.15,132.20,Churn
1,1,0,0,13,1,1,2,0,1,1,0,1,1,0,1,1,106.9,1364.30,Churn
1,1,1,0,57,1,1,2,0,1,0,0,0,1,0,1,1,89.85,4925.35,Not Churn
0,0,0,0,31,0,2,1,1,1,0,1,0,1,2,1,3,49.85,1520.10,Not Churn
0,0,1,0,45,1,1,2,1,1,1,1,1,1,1,0,2,113.3,5032.25,Not Churn
0,0,1,1,61,1,1,1,1,1,1,1,1,1,2,0,2,88.1,5526.75,Not Churn
1,0,0,0,50,1,1,0,2,2,2,2,2,2,2,0,3,24.9,1195.25,Not Churn
0,1,0,0,19,1,0,2,1,1,0,1,1,1,0,1,2,105,2007.25,Not Churn
1,0,0,0,59,1,0,0,2,2,2,2,2,2,2,0,2,19.35,1099.60,Churn
0,0,1,0,71,1,1,0,2,2,2,2,2,2,2,1,3,24.25,1732.95,Not Churn
0,1,0,0,16,1,0,2,0,0,0,1,1,1,0,1,1,94.45,1511.20,Churn
1,0,1,0,57,1,0,1,1,1,0,1,0,0,2,1,1,59.75,3450.15,Not Churn
1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,3,24.8,24.80,Churn
1,1,1,0,20,1,1,2,0,1,0,1,1,1,0,0,1,107.05,2172.05,Not Churn
1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,70.6,70.60,Churn
1,0,1,0,5,1,1,2,0,1,0,1,0,0,0,1,1,85.4,401.10,Churn
0,0,1,0,52,1,1,2,0,1,1,0,1,1,0,1,1,105.05,5624.85,Churn
1,1,1,0,21,1,0,1,1,1,0,0,0,1,0,1,3,64.95,1339.80,Not Churn
1,0,0,0,14,0,2,1,0,0,1,1,1,1,0,1,1,55,771.95,Not Churn
0,0,0,0,5,1,0,1,0,1,0,0,0,0,0,0,3,50.55,244.75,Not Churn
0,0,0,0,6,1,0,1,1,1,0,0,0,0,0,0,2,55.15,322.90,Not Churn
0,0,0,0,10,1,0,1,0,1,0,0,0,0,0,0,1,51.2,498.25,Not Churn
0,0,0,1,1,1,1,0,2,2,2,2,2,2,0,0,2,25.4,25.40,Not Churn
0,0,0,0,68,1,1,1,1,0,0,0,0,0,0,0,2,54.45,3687.75,Not Churn
1,0,1,1,18,1,0,2,0,0,1,0,1,1,0,0,2,95.15,1779.95,Churn
0,0,0,0,22,1,1,2,0,0,0,0,0,0,1,1,3,76,1783.60,Not Churn
